SalesforceID,Name,Latitude,Longitude,URL
a3q5x0000024O5Z,DC - Capitol Hill - House Office Buildings,38.8861177,-77.00926631,https://www.tfaforms.com/4806228?tfa_3116=DC - Capitol Hill - House Office Buildings&tfa_3117=a3q5x0000024O5Z
a3q5x0000024O5k,DC - Capitol Hill at Eastern Market,38.88404078,-76.99519528,https://www.tfaforms.com/4806228?tfa_3116=DC - Capitol Hill at Eastern Market&tfa_3117=a3q5x0000024O5k
a3q5x0000024O5l,DC - Capitol Riverfront at Canal Park,38.87664278,-77.00324628,https://www.tfaforms.com/4806228?tfa_3116=DC - Capitol Riverfront at Canal Park&tfa_3117=a3q5x0000024O5l
a3q5x0000024O4R,VA - Centreville Library,38.83754874,-77.44129499,https://www.tfaforms.com/4806228?tfa_3116=VA - Centreville Library&tfa_3117=a3q5x0000024O4R
a3q5x0000024O52,VA - Chantilly - Cub Run RECenter,38.8904994,-77.46804684,https://www.tfaforms.com/4806228?tfa_3116=VA - Chantilly - Cub Run RECenter&tfa_3117=a3q5x0000024O52
a3q5x0000024O4u,VA - Chantilly - Regional Library,38.88233414,-77.40802986,https://www.tfaforms.com/4806228?tfa_3116=VA - Chantilly - Regional Library&tfa_3117=a3q5x0000024O4u
a3q5x0000024O5N,MD - College Park - Duvall Field (former City Hall pit stop),39.0034212,-76.92407081,https://www.tfaforms.com/4806228?tfa_3116=MD - College Park - Duvall Field (former City Hall pit stop)&tfa_3117=a3q5x0000024O5N
a3q5x0000024O5z,DC - Columbia Heights Plaza (Afternoon),38.93021379,-77.0324803,https://www.tfaforms.com/4806228?tfa_3116=DC - Columbia Heights Plaza (Afternoon)&tfa_3117=a3q5x0000024O5z
a3q5x0000024O58,VA - Culmore/Bailey's Crossroads,38.85154277,-77.14326902,https://www.tfaforms.com/4806228?tfa_3116=VA - Culmore/Bailey's Crossroads&tfa_3117=a3q5x0000024O58
a3q5x0000024O4Z,VA - Dumfries at Town Hall Community Center,38.56713371,-77.32640336,https://www.tfaforms.com/4806228?tfa_3116=VA - Dumfries at Town Hall Community Center&tfa_3117=a3q5x0000024O4Z
a3q5x0000024O4e,DC - Dupont Circle - AGU & Glen's Garden Market,38.91464772,-77.04504507,https://www.tfaforms.com/4806228?tfa_3116=DC - Dupont Circle - AGU & Glen's Garden Market&tfa_3117=a3q5x0000024O4e
a3q5x0000024O4V,DC - Dupont Circle Beefsteak Veggies (Afternoon),38.9108125,-77.04433976,https://www.tfaforms.com/4806228?tfa_3116=DC - Dupont Circle Beefsteak Veggies (Afternoon)&tfa_3117=a3q5x0000024O4V
a3q5x0000024O4O,VA - Fair Lakes Center,38.85635606,-77.39223246,https://www.tfaforms.com/4806228?tfa_3116=VA - Fair Lakes Center&tfa_3117=a3q5x0000024O4O
a3q5x0000024O5X,VA - Fairfax City Downtown,38.84636677,-77.30459238,https://www.tfaforms.com/4806228?tfa_3116=VA - Fairfax City Downtown&tfa_3117=a3q5x0000024O5X
a3q5x0000024O5T,VA - Fairfax County Government Center,38.85405676,-77.35730939,https://www.tfaforms.com/4806228?tfa_3116=VA - Fairfax County Government Center&tfa_3117=a3q5x0000024O5T
a3q5x0000024O5B,VA - Falls Church - Fairview Park at Providence RECenter,38.86162666,-77.21075873,https://www.tfaforms.com/4806228?tfa_3116=VA - Falls Church - Fairview Park at Providence RECenter&tfa_3117=a3q5x0000024O5B
a3q5x0000024O63,VA - Falls Church City - W&OD Trail,38.88831654,-77.16603797,https://www.tfaforms.com/4806228?tfa_3116=VA - Falls Church City - W&OD Trail&tfa_3117=a3q5x0000024O63
a3q5x0000024O4B,MD - FDA White Oak,39.03479782,-76.98340029,https://www.tfaforms.com/4806228?tfa_3116=MD - FDA White Oak&tfa_3117=a3q5x0000024O4B
a3q5x0000024O5W,VA - Fort Belvoir,38.71105074,-77.12915031,https://www.tfaforms.com/4806228?tfa_3116=VA - Fort Belvoir&tfa_3117=a3q5x0000024O5W
a3q5x0000024O59,VA - Franconia - Lee District Park RECenter,38.77424387,-77.10674231,https://www.tfaforms.com/4806228?tfa_3116=VA - Franconia - Lee District Park RECenter&tfa_3117=a3q5x0000024O59
a3q5x0000024O4L,DC - Franklin Square,38.90134779,-77.02909129,https://www.tfaforms.com/4806228?tfa_3116=DC - Franklin Square&tfa_3117=a3q5x0000024O4L
a3q5x0000024O5S,MD - Frederick Downtown at Transit Center,39.41166087,-77.40582944,https://www.tfaforms.com/4806228?tfa_3116=MD - Frederick Downtown at Transit Center&tfa_3117=a3q5x0000024O5S
a3q5x0000024O5Q,DC - Freedom Plaza,38.89580479,-77.03147329,https://www.tfaforms.com/4806228?tfa_3116=DC - Freedom Plaza&tfa_3117=a3q5x0000024O5Q
a3q5x0000024O54,MD - Friendship Heights,38.9607788,-77.08608631,https://www.tfaforms.com/4806228?tfa_3116=MD - Friendship Heights&tfa_3117=a3q5x0000024O54
a3q5x0000024O5c,MD - Gaithersburg - Kentlands,39.12362582,-77.23083637,https://www.tfaforms.com/4806228?tfa_3116=MD - Gaithersburg - Kentlands&tfa_3117=a3q5x0000024O5c
a3q5x0000024O4D,MD - Gaithersburg - Olde Towne Plaza (Afternoon),39.142071,-77.19321832,https://www.tfaforms.com/4806228?tfa_3116=MD - Gaithersburg - Olde Towne Plaza (Afternoon)&tfa_3117=a3q5x0000024O4D
a3q5x0000024O5o,DC - Georgetown Waterfront Park,38.90251779,-77.0628423,https://www.tfaforms.com/4806228?tfa_3116=DC - Georgetown Waterfront Park&tfa_3117=a3q5x0000024O5o
a3q5x0000024O4g,MD - Germantown at acac Fitness & Wellness,39.19758176,-77.2577756,https://www.tfaforms.com/4806228?tfa_3116=MD - Germantown at acac Fitness & Wellness&tfa_3117=a3q5x0000024O4g
a3q5x0000024O4k,DC - Glover Park at Kimpton Hotel,38.92314979,-77.07281931,https://www.tfaforms.com/4806228?tfa_3116=DC - Glover Park at Kimpton Hotel&tfa_3117=a3q5x0000024O4k
a3q5x0000024O5M,DC - Golden Triangle - Farragut Square,38.90193579,-77.0388593,https://www.tfaforms.com/4806228?tfa_3116=DC - Golden Triangle - Farragut Square&tfa_3117=a3q5x0000024O5M
a3q5x0000024O5t,DC - Golden Triangle - L Street,38.90373579,-77.0429443,https://www.tfaforms.com/4806228?tfa_3116=DC - Golden Triangle - L Street&tfa_3117=a3q5x0000024O5t
a3q5x0000024O5r,MD - Greenbelt Aquatic & Fitness Center,39.00188081,-76.87721425,https://www.tfaforms.com/4806228?tfa_3116=MD - Greenbelt Aquatic & Fitness Center&tfa_3117=a3q5x0000024O5r
a3q5x0000024O4z,VA - Haymarket Bicycles,38.81314475,-77.63939148,https://www.tfaforms.com/4806228?tfa_3116=VA - Haymarket Bicycles&tfa_3117=a3q5x0000024O4z
a3q5x0000024O60,VA - Herndon Town Hall Green (Morning and Afternoon),38.96992079,-77.38556241,https://www.tfaforms.com/4806228?tfa_3116=VA - Herndon Town Hall Green (Morning and Afternoon)&tfa_3117=a3q5x0000024O60
a3q5x0000024O61,MD - Hyattsville at Magruder Park,38.9516758,-76.95067027,https://www.tfaforms.com/4806228?tfa_3116=MD - Hyattsville at Magruder Park&tfa_3117=a3q5x0000024O61
a3q5x0000024O4F,MD - Indian Head at Village Green Pavilion,38.60089072,-77.16910832,https://www.tfaforms.com/4806228?tfa_3116=MD - Indian Head at Village Green Pavilion&tfa_3117=a3q5x0000024O4F
a3q5x0000024O4Q,DC - Ivy City at BicycleSPACE,38.91459528,-76.98453575,https://www.tfaforms.com/4806228?tfa_3116=DC - Ivy City at BicycleSPACE&tfa_3117=a3q5x0000024O4Q
a3q5x0000024O5P,DC - L'Enfant Plaza,38.88481195,-77.02508623,https://www.tfaforms.com/4806228?tfa_3116=DC - L'Enfant Plaza&tfa_3117=a3q5x0000024O5P
a3q5x0000024O57,DC - Lamond at Seabury (Afternoon),38.96329154,-77.00995058,https://www.tfaforms.com/4806228?tfa_3116=DC - Lamond at Seabury (Afternoon)&tfa_3117=a3q5x0000024O57
a3q5x0000024O4o,MD - Largo at Prince George's Community College,38.88993494,-76.82486774,https://www.tfaforms.com/4806228?tfa_3116=MD - Largo at Prince George's Community College&tfa_3117=a3q5x0000024O4o
a3q5x0000024O5h,VA - Leesburg at Raflo Park,39.11046823,-77.56333859,https://www.tfaforms.com/4806228?tfa_3116=VA - Leesburg at Raflo Park&tfa_3117=a3q5x0000024O5h
a3q5x0000024O5J,VA - Lorton VRE Station,38.71423125,-77.21280347,https://www.tfaforms.com/4806228?tfa_3116=VA - Lorton VRE Station&tfa_3117=a3q5x0000024O5J
a3q5x0000024O5g,VA - Manassas - George Mason University,38.75826574,-77.52076744,https://www.tfaforms.com/4806228?tfa_3116=VA - Manassas - George Mason University&tfa_3117=a3q5x0000024O5g
a3q5x0000024O4T,VA - Manassas - Kelly Leadership Center,38.63714572,-77.4342824,https://www.tfaforms.com/4806228?tfa_3116=VA - Manassas - Kelly Leadership Center&tfa_3117=a3q5x0000024O4T
a3q5x0000024O5O,VA - Manassas - VRE Station,38.75014396,-77.47262844,https://www.tfaforms.com/4806228?tfa_3116=VA - Manassas - VRE Station&tfa_3117=a3q5x0000024O5O
a3q5x0000024O5G,VA - Manassas Park - Palisades Apartments,38.76107062,-77.44109281,https://www.tfaforms.com/4806228?tfa_3116=VA - Manassas Park - Palisades Apartments&tfa_3117=a3q5x0000024O5G
a3q5x0000024O4N,VA - McLean - Dolley Madison Library,38.94009008,-77.18436528,https://www.tfaforms.com/4806228?tfa_3116=VA - McLean - Dolley Madison Library&tfa_3117=a3q5x0000024O4N
a3q5x0000024O5D,VA - McLean - MITRE Corporation,38.9228415,-77.20550589,https://www.tfaforms.com/4806228?tfa_3116=VA - McLean - MITRE Corporation&tfa_3117=a3q5x0000024O5D
a3q5x0000024O4M,VA - McLean - Spring Hill RECenter,38.94204682,-77.22817025,https://www.tfaforms.com/4806228?tfa_3116=VA - McLean - Spring Hill RECenter&tfa_3117=a3q5x0000024O4M
a3q5x0000024O4m,VA - Mosaic at Strawberry Park (Afternoon),38.87220077,-77.22962735,https://www.tfaforms.com/4806228?tfa_3116=VA - Mosaic at Strawberry Park (Afternoon)&tfa_3117=a3q5x0000024O4m
a3q5x0000024O4s,MD - Mount Rainier Bike Co-op,38.93891863,-76.95815512,https://www.tfaforms.com/4806228?tfa_3116=MD - Mount Rainier Bike Co-op&tfa_3117=a3q5x0000024O4s
a3q5x0000024O50,DC - Mount Vernon Triangle at VIDA Fitness,38.9025571,-77.01753313,https://www.tfaforms.com/4806228?tfa_3116=DC - Mount Vernon Triangle at VIDA Fitness&tfa_3117=a3q5x0000024O50
a3q5x0000024O5b,VA - Mt. Vernon - Collingwood Park,38.73492275,-77.05006429,https://www.tfaforms.com/4806228?tfa_3116=VA - Mt. Vernon - Collingwood Park&tfa_3117=a3q5x0000024O5b
a3q5x0000024O5H,VA - Mt. Vernon - George Washington RECenter,38.72875475,-77.09779776,https://www.tfaforms.com/4806228?tfa_3116=VA - Mt. Vernon - George Washington RECenter&tfa_3117=a3q5x0000024O5H
a3q5x0000024O4f,VA - Mt. Vernon - RECenter Belle View,38.77429976,-77.06379475,https://www.tfaforms.com/4806228?tfa_3116=VA - Mt. Vernon - RECenter Belle View&tfa_3117=a3q5x0000024O4f
a3q5x0000024O5s,DC - National Geographic Society,38.90539779,-77.0376453,https://www.tfaforms.com/4806228?tfa_3116=DC - National Geographic Society&tfa_3117=a3q5x0000024O5s
a3q5x0000024O4C,MD - National Institutes of Health - Building 1,38.9998518,-77.10094732,https://www.tfaforms.com/4806228?tfa_3116=MD - National Institutes of Health - Building 1&tfa_3117=a3q5x0000024O4C
a3q5x0000024O5I,MD - Naval Support Activity Bethesda,38.99968509,-77.09566924,https://www.tfaforms.com/4806228?tfa_3116=MD - Naval Support Activity Bethesda&tfa_3117=a3q5x0000024O5I
a3q5x0000024O62,DC - NoMa at Wunder Garten,38.90401033,-77.00542037,https://www.tfaforms.com/4806228?tfa_3116=DC - NoMa at Wunder Garten&tfa_3117=a3q5x0000024O62
a3q5x0000024O5L,MD - North Bethesda at Pike & Rose,39.05111828,-77.11571888,https://www.tfaforms.com/4806228?tfa_3116=MD - North Bethesda at Pike & Rose&tfa_3117=a3q5x0000024O5L
a3q5x0000024O4r,VA - Oakton at Oak Marr RECenter,38.87504435,-77.31465308,https://www.tfaforms.com/4806228?tfa_3116=VA - Oakton at Oak Marr RECenter&tfa_3117=a3q5x0000024O4r
a3q5x0000024O53,DC - Old City Market and Oven,38.90268726,-76.9985796,https://www.tfaforms.com/4806228?tfa_3116=DC - Old City Market and Oven&tfa_3117=a3q5x0000024O53
a3q5x0000024O5d,MD - Oxon Hill/National Harbor,38.79100476,-77.01576428,https://www.tfaforms.com/4806228?tfa_3116=MD - Oxon Hill/National Harbor&tfa_3117=a3q5x0000024O5d
a3q5x0000024O5R,MD - Port Towns - Edmonston (Morning and Afternoon),38.9496088,-76.93507527,https://www.tfaforms.com/4806228?tfa_3116=MD - Port Towns - Edmonston (Morning and Afternoon)&tfa_3117=a3q5x0000024O5R
a3q5x0000024O4b,VA - Reston - Reston Station,38.94895378,-77.33690739,https://www.tfaforms.com/4806228?tfa_3116=VA - Reston - Reston Station&tfa_3117=a3q5x0000024O4b
a3q5x0000024O4W,VA - Rippon Landing VRE Station,38.61335772,-77.25499935,https://www.tfaforms.com/4806228?tfa_3116=VA - Rippon Landing VRE Station&tfa_3117=a3q5x0000024O4W
a3q5x0000024O5A,MD - Riverdale Park Station (Afternoon),38.96965731,-76.9381263,https://www.tfaforms.com/4806228?tfa_3116=MD - Riverdale Park Station (Afternoon)&tfa_3117=a3q5x0000024O5A
a3q5x0000024O4I,MD - Rock Springs Business Park at Marriott HQ,39.02568481,-77.13947533,https://www.tfaforms.com/4806228?tfa_3116=MD - Rock Springs Business Park at Marriott HQ&tfa_3117=a3q5x0000024O4I
a3q5x0000024O4U,MD - Rockville - Fallsgrove,39.09793382,-77.19282936,https://www.tfaforms.com/4806228?tfa_3116=MD - Rockville - Fallsgrove&tfa_3117=a3q5x0000024O4U
a3q5x0000024O4h,MD - Rockville - Town Square,39.08606782,-77.15272834,https://www.tfaforms.com/4806228?tfa_3116=MD - Rockville - Town Square&tfa_3117=a3q5x0000024O4h
a3q5x0000024O55,MD - Rockville - Twinbrook,39.06292282,-77.11391933,https://www.tfaforms.com/4806228?tfa_3116=MD - Rockville - Twinbrook&tfa_3117=a3q5x0000024O55
a3q5x0000024O64,DC - Shaw,38.91085525,-77.02683328,https://www.tfaforms.com/4806228?tfa_3116=DC - Shaw&tfa_3117=a3q5x0000024O64
a3q5x0000024O4E,MD - Silver Spring - Downtown at Veterans Plaza,38.99783224,-77.02459753,https://www.tfaforms.com/4806228?tfa_3116=MD - Silver Spring - Downtown at Veterans Plaza&tfa_3117=a3q5x0000024O4E
a3q5x0000024O4x,DC - Southwest Business Improvement District,38.884194,-77.01734384,https://www.tfaforms.com/4806228?tfa_3116=DC - Southwest Business Improvement District&tfa_3117=a3q5x0000024O4x
a3q5x0000024O5j,VA - Springfield - Metro Park at Walker Lane,38.76933275,-77.15732032,https://www.tfaforms.com/4806228?tfa_3116=VA - Springfield - Metro Park at Walker Lane&tfa_3117=a3q5x0000024O5j
a3q5x0000024O5C,VA - Springfield at South Run RECenter,38.74787374,-77.27504058,https://www.tfaforms.com/4806228?tfa_3116=VA - Springfield at South Run RECenter&tfa_3117=a3q5x0000024O5C
a3q5x0000024O4a,VA - Sterling,39.01045579,-77.43211642,https://www.tfaforms.com/4806228?tfa_3116=VA - Sterling&tfa_3117=a3q5x0000024O4a
a3q5x0000024O5e,MD - Suitland at U.S. Census Bureau,38.85255616,-76.93426136,https://www.tfaforms.com/4806228?tfa_3116=MD - Suitland at U.S. Census Bureau&tfa_3117=a3q5x0000024O5e
a3q5x0000024O5y,MD - Takoma Park - Sligo Creek Trail,38.9794408,-76.99010329,https://www.tfaforms.com/4806228?tfa_3116=MD - Takoma Park - Sligo Creek Trail&tfa_3117=a3q5x0000024O5y
a3q5x0000024O65,MD - Takoma Park Downtown/Old Town,38.9748018,-77.01110729,https://www.tfaforms.com/4806228?tfa_3116=MD - Takoma Park Downtown/Old Town&tfa_3117=a3q5x0000024O65
a3q5x0000024O56,DC - The Wharf/SW Waterfront,38.87843939,-77.02281866,https://www.tfaforms.com/4806228?tfa_3116=DC - The Wharf/SW Waterfront&tfa_3117=a3q5x0000024O56
a3q5x0000024O5n,VA - Tysons Corner Center,38.91567078,-77.22569735,https://www.tfaforms.com/4806228?tfa_3116=VA - Tysons Corner Center&tfa_3117=a3q5x0000024O5n
a3q5x0000024O5U,DC - U.S. Coast Guard Headquarters,38.85285978,-77.00498428,https://www.tfaforms.com/4806228?tfa_3116=DC - U.S. Coast Guard Headquarters&tfa_3117=a3q5x0000024O5U
a3q5x0000024O5E,MD - University of Maryland (Afternoon),38.98816381,-76.94062627,https://www.tfaforms.com/4806228?tfa_3116=MD - University of Maryland (Afternoon)&tfa_3117=a3q5x0000024O5E
a3q5x0000024O5V,DC - USDA Farmers Market,38.88769814,-77.02859575,https://www.tfaforms.com/4806228?tfa_3116=DC - USDA Farmers Market&tfa_3117=a3q5x0000024O5V
a3q5x0000024O4S,VA - Vienna Town Green,38.90269878,-77.26389537,https://www.tfaforms.com/4806228?tfa_3116=VA - Vienna Town Green&tfa_3117=a3q5x0000024O4S
a3q5x0000024O4i,DC - West End at American College of Cardiology (Afternoon),38.90721488,-77.05199367,https://www.tfaforms.com/4806228?tfa_3116=DC - West End at American College of Cardiology (Afternoon)&tfa_3117=a3q5x0000024O4i
a3q5x0000024O5m,VA - Woodbridge - Chinn Center,38.67084873,-77.33214037,https://www.tfaforms.com/4806228?tfa_3116=VA - Woodbridge - Chinn Center&tfa_3117=a3q5x0000024O5m
a3q5x0000024O5a,VA - Woodbridge - Tackett's Mill,38.67586468,-77.27656954,https://www.tfaforms.com/4806228?tfa_3116=VA - Woodbridge - Tackett's Mill&tfa_3117=a3q5x0000024O5a
a3q5x0000024O4H,VA - Woodbridge - VRE Station,38.65880573,-77.24767535,https://www.tfaforms.com/4806228?tfa_3116=VA - Woodbridge - VRE Station&tfa_3117=a3q5x0000024O4H
